"County","Ballots issued","Ballots accepted","Voter Returned - Drop Box","Voter Returned - Drop Off Location","Voter Returned - Vote Center Drop Off","Voter Returned - Mail","Voter Returned - FAX","Voter Returned - Other","Ballots returned","% returned","% accepted"
"Alameda",941594,165546,50164,1245,388,114433,356,14,166600,17.69,17.58
"Alpine",932,352,84,3,0,267,0,0,354,37.98,37.77
"Amador",26616,8848,3956,0,152,4755,9,0,8872,33.33,33.24
"Butte",125145,29629,6879,451,349,22292,76,0,30047,24.01,23.68
"Calaveras",32567,9012,2848,378,0,5829,4,0,9059,27.82,27.67
"Colusa",10254,1999,408,152,0,1472,1,0,2033,19.83,19.49
"Contra Costa",709623,148199,36844,858,0,111464,96,0,149262,21.03,20.88
"Del Norte",15270,3580,0,1251,0,2421,0,0,3672,24.05,23.44
"El Dorado",140448,32654,10566,1681,354,20149,20,0,32770,23.33,23.25
"Fresno",505826,80421,22129,0,1922,57736,96,0,81883,16.19,15.9
"Glenn",14618,3060,760,86,0,2240,0,0,3086,21.11,20.93
"Humboldt",85636,17935,3701,687,0,13696,11,0,18095,21.13,20.94
"Imperial",87766,10410,1692,472,0,8433,0,0,10597,12.07,11.86
"Inyo",10871,3068,690,207,0,2180,4,0,3081,28.34,28.22
"Kern",438295,32062,3479,3159,0,25849,0,0,32487,7.41,7.32
"Kings",62054,10492,4191,408,148,6300,4,0,11051,17.81,16.91
"Lake",37597,6629,660,272,0,5742,5,0,6679,17.76,17.63
"Lassen",14855,3941,646,733,0,2562,0,0,3941,26.53,26.53
"Los Angeles",5677626,711031,232178,1269,10031,473495,869,1,717843,12.64,12.52
"Madera",73502,14659,4430,119,229,9983,6,0,14767,20.09,19.94
"Marin",172367,41622,6650,2,0,34943,176,0,41771,24.23,24.15
"Mariposa",11711,3168,1618,0,81,1476,4,0,3179,27.15,27.05
"Mendocino",53663,11808,2379,361,0,9123,36,0,11899,22.17,22
"Merced",126632,18191,4380,376,122,14007,0,0,18885,14.91,14.37
"Modoc",5261,1538,329,173,0,1039,1,0,1542,29.31,29.23
"Mono",7822,1523,458,19,0,1106,5,0,1588,20.3,19.47
"Monterey",212093,45689,1971,128,0,43701,128,0,45928,21.65,21.54
"Napa",84778,19846,5435,25,1633,13616,13,0,20722,24.44,23.41
"Nevada",75457,20526,4524,4286,212,11564,43,0,20629,27.34,27.2
"Orange",1836130,336420,85248,1315,9545,249620,300,0,346028,18.85,18.32
"Placer",281970,62990,21104,2301,0,41163,50,0,64618,22.92,22.34
"Plumas",14031,5051,1022,144,0,3885,0,0,5051,36,36
"Riverside",1318302,213275,7607,14018,8934,185250,1,0,215810,16.37,16.18
"Sacramento",873536,167433,46190,1128,1643,118822,86,1,167870,19.22,19.17
"San Benito",38054,5629,2414,0,345,2993,3,0,5755,15.12,14.79
"San Bernardino",1160155,140801,17372,7147,0,124366,120,0,149005,12.84,12.14
"San Diego",1932070,415316,78535,0,5217,334704,446,0,418902,21.68,21.5
"San Francisco",507042,98854,12516,1552,0,84540,486,0,99094,19.54,19.5
"San Joaquin",392090,66071,11907,448,0,55182,11,0,67548,17.23,16.85
"San Luis Obispo",184587,49261,7679,1353,0,40648,96,0,49776,26.97,26.69
"San Mateo",437553,96953,21932,3,1086,74276,178,0,97475,22.28,22.16
"Santa Barbara",240582,56449,19919,1114,0,35747,165,0,56945,23.67,23.46
"Santa Clara",1020486,198860,53110,0,2145,145162,266,0,200683,19.67,19.49
"Santa Cruz",168313,31844,8989,198,748,22336,97,0,32368,19.23,18.92
"Shasta",112849,24021,6638,3705,0,13782,9,0,24134,21.39,21.29
"Sierra",2252,872,0,50,0,826,0,0,876,38.9,38.72
"Siskiyou",29431,7897,1206,298,0,6416,4,1,7925,26.93,26.83
"Solano",264245,47012,265,5285,1,41639,46,0,47236,17.88,17.79
"Sonoma",306433,71991,17571,1352,496,53238,158,0,72815,23.76,23.49
"Stanislaus",284423,50193,11058,174,1,40075,21,0,51329,18.05,17.65
"Sutter",53364,10907,2739,397,0,7796,6,0,10938,20.5,20.44
"Tehama",37582,7025,2596,30,0,4441,2,0,7069,18.81,18.69
"Trinity",7554,1833,530,65,0,1250,1,0,1846,24.44,24.27
"Tulare",210345,30589,6803,3,0,24157,9,0,30972,14.72,14.54
"Tuolumne",35844,10244,2369,1308,0,6635,5,0,10317,28.78,28.58
"Ventura",510527,92884,35190,398,860,57282,147,1,93878,18.39,18.19
"Yolo",120747,24039,8729,0,0,15699,30,0,24458,20.26,19.91
"Yuba",41599,6741,2186,74,0,4634,5,0,6899,16.58,16.2
